cfips,state_soil,OC50_mean,OC50_sum,OC20_mean,OC20_sum,Clay20_mean,Clay20_sum,Clay50_mean,Clay50_sum,OD20_mean,OD20_sum,OD50_mean,OD50_sum,CA20_mean,CA20_sum,CA50_mean,CA50_sum,ECEC20_mean,ECEC20_sum,ECEC50_mean,ECEC50_sum,FE20_mean,FE20_sum,FE50_mean,FE50_sum,K20_mean,K20_sum,K50_mean,K50_sum,MG20_mean,MG20_sum,MG50_mean,MG50_sum,N20_mean,N20_sum,N50_mean,N50_sum,P20_mean,P20_sum,P50_mean,P50_sum,S20_mean,S20_sum,S50_mean,S50_sum,ZN20_mean,ZN20_sum,ZN50_mean,ZN50_sum,SAND20_mean,SAND20_sum,SAND50_mean,SAND50_sum,SILT20_mean,SILT20_sum,SILT50_mean,SILT50_sum
1004,ANAMBRA,23.84509784,121275643,17.94904775,91288462,22.93552941,116649598,27.05803191,137616555,136.3076317,693257616,140.1897751,713002112,57.26205579,291233556,55.34595175,281488293,24.21191539,123141269,24.40946894,124146022,43.5153821,221318276,37.4886714,190666558,43.36507688,220553827,40.87886538,207909010,44.63673122,227021433,43.3566026,220510727,79.50623145,404366944,52.50722064,267050569,21.67378113,110232374,18.90896952,96170603,20.90308727,106312642,16.12930217,82033276,13.14703367,66865524,11.58438534,58917929,53.70443777,273139589,51.61538174,262514696,17.07066291,86821016,16.5069552,83954011
1006,BAYELSA,29.07290962,313693206,24.18474941,260950544,35.73670235,385594730,36.97412668,398946390,108.9259528,1175297960,110.6312459,1193697868,54.95129418,592917870,53.22258107,574265263,23.81993136,257014201,23.43878644,252901693,48.69983049,525465327,39.80258047,429465067,42.46889168,458234245,39.1455538,422375828,44.37719122,478824568,43.18823879,465995914,108.134295,1166756067,76.50704595,825501845,24.35120418,262746571,22.59642776,243812744,24.40955803,263376202,19.74663092,213063778,16.07911682,173491741,13.82328543,149151591,43.68728058,471380515,42.80181642,461826463,22.07045556,238137567,21.52296161,232230173
1007,BENUE,20.62923328,724361674,15.60473744,547934748,18.97540617,666290249,23.61912049,829346657,128.8203792,4523316222,130.4789308,4581553539,60.58475833,2127334369,58.97995128,2070984203,20.98965078,737017143,21.15232482,742729175,43.57048661,1529906138,36.04571534,1265686143,41.92118703,1471993690,40.16405004,1410294708,46.21749845,1622851615,45.63694279,1602466356,65.49490372,2299746067,46.09026932,1618384173,21.9893393,772119565,19.32258973,678481030,19.06528008,669446024,14.38520721,505112945,8.067315462,283270544,7.010616672,246166300,57.69664625,2025923053,53.62810505,1883062905,20.07759642,704991851,19.70085448,691763176
1012,EDO,24.77055133,544012830,18.29362387,401766031,19.76355345,434048742,24.89166941,546672835,130.9108838,2875075303,135.2074395,2969436603,56.74262515,1246186073,52.81015546,1159820859,22.33243709,490466770,22.00907619,483365092,44.63612003,980302039,37.51605704,823930646,41.684492,915478148,37.42165523,821857386,43.32972264,951610835,40.75430592,895049327,87.61961048,1924308895,54.52760039,1197539522,21.57001673,473722433,18.36106234,403247120,20.63102001,453100112,15.80450495,347099802,13.30843495,292280913,11.73315619,257684515,60.77832045,1334818336,57.63570941,1265800061,13.58894763,298441555,12.9110719,283553994
1019,KADUNA,20.14370022,1008353265,16.11853177,806861399,21.09888548,1056167925,26.54252841,1328665781,131.1734724,6566281158,131.182227,6566719395,59.36209859,2971547694,58.93242546,2950039118,22.79587449,1141115794,23.64003625,1183372840,42.93875762,2149428157,33.80855964,1692388743,42.30218721,2117562718,41.42728672,2073766953,47.3724603,2371370428,47.62110073,2383816870,51.40249286,2573105782,37.81492373,1892939301,21.27480059,1064973883,17.79695977,890880141,19.98325852,1000321875,16.31973813,816933386,6.679867448,334380778,5.75922444,288295234,57.656371,2886162389,51.80521146,2593265068,19.83031388,992665773,19.84927025,993614691
1022,KEBBI,16.8986013,680266613,12.96079181,521746965,15.65258372,630107186,20.64744623,831179342,145.5503944,5859246695,146.9441025,5915351519,60.42657514,2432519761,60.38598111,2430885616,20.2711245,816030212,21.79805332,877497944,39.3462437,1583914281,28.22186866,1136093731,40.66458625,1636985207,39.61812235,1594858972,46.77213812,1882849557,47.13429259,1897428373,40.00608899,1610476877,30.21409154,1216292245,21.29181526,857118929,19.01842423,765601768,16.57637507,667295140,12.09171256,486761490,6.809078489,274104861,5.815771389,234118495,65.34198364,2630393433,60.24579113,2425242157,16.65255126,670361673,16.64026185,669866953
1028,OGUN,23.90006063,430582608,17.12172067,308464286,18.03843009,324979689,23.94464087,431385764,133.4571387,2404358873,137.5450695,2478006883,61.20354921,1102640878,57.64004011,1038440830,21.98809878,396136774,21.59313266,389021079,44.31994665,798466519,37.1121708,668611496,42.42114252,764257734,38.58869465,695212495,46.69648178,841282088,45.04808402,811584615,83.63130497,1506698496,52.49184792,945691190,21.17018036,381401186,18.388215,331281401,20.52016625,369690556,15.79163823,284501570,13.21601438,238099226,11.75290447,211739892,62.80009578,1131404202,59.04143298,1063688272,13.90801119,250566215,13.0846587,235732727
1031,OYO,21.85221545,673013906,15.99589531,492648446,14.85582693,457536131,20.0968478,618951340,126.8532534,3906880919,128.4897998,3957283976,61.68125611,1899685787,59.2429773,1824590630,19.53076168,601516777,18.92383378,582824351,42.65613194,1313741851,35.71874189,1100081136,42.78584505,1317736811,39.83950636,1226994208,47.17817646,1453013718,46.400425,1429060195,71.02482273,2187452960,47.34320439,1458096319,21.97513646,676799680,19.22276708,592031027,19.11609456,588745681,14.46128898,445384982,10.35561921,318936803,9.352844783,288052926,65.3265625,2011955497,61.07851189,1881122212,16.36223705,503931196,15.63368619,481492974
